,importance
Dst Port,0.05319358265814831
Flow Duration,0.05285960268507721
Flow IAT Max,0.04667657613299024
Fwd PSH Flags,0.040904759679882184
Average Packet Size,0.03348134014340561
Down/Up Ratio,0.033444266746401614
Bwd Packet Length Mean,0.03337413562407166
Bwd Packet Length Std,0.032496604313052915
Bwd IAT Min,0.027533081245773413
Bwd Header Length,0.026166030403886504
Bwd Packets/s,0.02528070650606095
Subflow Bwd Bytes,0.024986700968232467
PSH Flag Count,0.024196905048755407
Packet Length Mean,0.024091633385216738
Bwd Segment Size Avg,0.022109166263089258
